,EPAREGION,"State,County",State,County,County_with_county_appended,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
626,4,"Georgia,Fulton",Georgia,Fulton,Fulton County,0.551,0.53,0.709,0.21,0.49,1.632
627,4,"Georgia,Gilmer",Georgia,Gilmer,Gilmer County,0.238,0.342,0.278,0.506,0.402,0.49
628,4,"Georgia,Glascock",Georgia,Glascock,Glascock County,0.103,0.628,0.125,0.302,0.342,-6.047
629,4,"Georgia,Glynn",Georgia,Glynn,Glynn County,0.352,0.466,0.366,0.497,0.552,2.13
630,4,"Georgia,Gordon",Georgia,Gordon,Gordon County,0.535,0.347,0.326,0.37,0.376,-0.256
631,4,"Georgia,Grady",Georgia,Grady,Grady County,0.089,0.494,0.307,0.473,0.389,2.717
632,4,"Georgia,Greene",Georgia,Greene,Greene County,0.123,0.597,0.309,0.417,0.405,1.968
633,4,"Georgia,Gwinnett",Georgia,Gwinnett,Gwinnett County,0.569,0.579,0.418,0.15,0.553,0.259
634,4,"Georgia,Habersham",Georgia,Habersham,Habersham County,0.372,0.237,0.339,0.403,0.475,0.173
635,4,"Georgia,Hall",Georgia,Hall,Hall County,0.606,0.578,0.38,0.314,0.536,0.687
636,4,"Georgia,Hancock",Georgia,Hancock,Hancock County,0.085,0.549,0.234,0.378,0.414,-0.985
637,4,"Georgia,Haralson",Georgia,Haralson,Haralson County,0.182,0.37,0.249,0.307,0.383,-2.531
638,4,"Georgia,Harris",Georgia,Harris,Harris County,0.158,0.523,0.373,0.389,0.447,2.234
639,4,"Georgia,Hart",Georgia,Hart,Hart County,0.225,0.578,0.275,0.436,0.401,0.762
640,4,"Georgia,Heard",Georgia,Heard,Heard County,0.138,0.573,0.228,0.35,0.351,-1.959
641,4,"Georgia,Henry",Georgia,Henry,Henry County,0.457,0.602,0.341,0.351,0.54,0.95
642,4,"Georgia,Houston",Georgia,Houston,Houston County,0.504,0.565,0.329,0.387,0.47,0.627
643,4,"Georgia,Irwin",Georgia,Irwin,Irwin County,0.086,0.533,0.207,0.37,0.437,-1.733
644,4,"Georgia,Jackson",Georgia,Jackson,Jackson County,0.489,0.625,0.378,0.303,0.479,0.65
645,4,"Georgia,Jasper",Georgia,Jasper,Jasper County,0.099,0.577,0.318,0.381,0.37,0.889
646,4,"Georgia,Jeff Davis",Georgia,Jeff Davis,Jeff Davis County,0.084,0.522,0.185,0.352,0.36,-4.915
647,4,"Georgia,Jefferson",Georgia,Jefferson,Jefferson County,0.107,0.562,0.293,0.38,0.441,1.34
648,4,"Georgia,Jenkins",Georgia,Jenkins,Jenkins County,0.088,0.457,0.117,0.424,0.334,-6.054
649,4,"Georgia,Johnson",Georgia,Johnson,Johnson County,0.133,0.592,0.269,0.392,0.308,-0.904
650,4,"Georgia,Jones",Georgia,Jones,Jones County,0.113,0.575,0.34,0.382,0.481,3.233
651,4,"Georgia,Lamar",Georgia,Lamar,Lamar County,0.215,0.579,0.228,0.397,0.422,-0.042
652,4,"Georgia,Lanier",Georgia,Lanier,Lanier County,0.113,0.561,0.247,0.394,0.337,-1.343
653,4,"Georgia,Laurens",Georgia,Laurens,Laurens County,0.147,0.526,0.383,0.386,0.584,4.376
654,4,"Georgia,Lee",Georgia,Lee,Lee County,0.217,0.585,0.365,0.399,0.515,2.533
655,4,"Georgia,Liberty",Georgia,Liberty,Liberty County,0.214,0.567,0.396,0.488,0.366,2.533
656,4,"Georgia,Lincoln",Georgia,Lincoln,Lincoln County,0.12,0.584,0.233,0.545,0.36,2.095
657,4,"Georgia,Long",Georgia,Long,Long County,0.109,0.264,0.268,0.473,0.302,-2.474
658,4,"Georgia,Lowndes",Georgia,Lowndes,Lowndes County,0.334,0.567,0.443,0.388,0.516,2.141
659,4,"Georgia,Lumpkin",Georgia,Lumpkin,Lumpkin County,0.251,0.25,0.273,0.558,0.393,0.487
660,4,"Georgia,Macon",Georgia,Macon,Macon County,0.093,0.515,0.218,0.452,0.398,-0.124
661,4,"Georgia,Madison",Georgia,Madison,Madison County,0.214,0.584,0.275,0.303,0.513,0.319
662,4,"Georgia,Marion",Georgia,Marion,Marion County,0.101,0.516,0.204,0.438,0.189,-4.856
663,4,"Georgia,McDuffie",Georgia,McDuffie,McDuffie County,0.148,0.575,0.236,0.439,0.548,2.43
664,4,"Georgia,McIntosh",Georgia,McIntosh,McIntosh County,0.143,0.219,0.328,0.529,0.453,1.982
665,4,"Georgia,Meriwether",Georgia,Meriwether,Meriwether County,0.145,0.457,0.309,0.39,0.439,0.701
666,4,"Georgia,Miller",Georgia,Miller,Miller County,0.173,0.507,0.204,0.466,0.486,0.873
667,4,"Georgia,Mitchell",Georgia,Mitchell,Mitchell County,0.156,0.496,0.323,0.42,0.505,2.419
668,4,"Georgia,Monroe",Georgia,Monroe,Monroe County,0.205,0.591,0.356,0.318,0.524,1.704
669,4,"Georgia,Montgomery",Georgia,Montgomery,Montgomery County,0.072,0.591,0.237,0.371,0.283,-4.31
670,4,"Georgia,Morgan",Georgia,Morgan,Morgan County,0.169,0.575,0.37,0.336,0.541,2.673
671,4,"Georgia,Murray",Georgia,Murray,Murray County,0.248,0.242,0.295,0.432,0.231,-1.832
672,4,"Georgia,Muscogee",Georgia,Muscogee,Muscogee County,0.472,0.453,0.281,0.365,0.49,0.127
673,4,"Georgia,Newton",Georgia,Newton,Newton County,0.412,0.57,0.311,0.314,0.475,0.254
674,4,"Georgia,Oconee",Georgia,Oconee,Oconee County,0.494,0.586,0.296,0.259,0.592,0.355
675,4,"Georgia,Oglethorpe",Georgia,Oglethorpe,Oglethorpe County,0.145,0.585,0.264,0.408,0.311,-0.684
676,4,"Georgia,Paulding",Georgia,Paulding,Paulding County,0.444,0.357,0.274,0.343,0.46,-0.37
677,4,"Georgia,Peach",Georgia,Peach,Peach County,0.431,0.589,0.283,0.39,0.455,0.454
678,4,"Georgia,Pickens",Georgia,Pickens,Pickens County,0.397,0.281,0.327,0.336,0.445,-0.368
679,4,"Georgia,Pierce",Georgia,Pierce,Pierce County,0.098,0.596,0.29,0.42,0.421,2.331
680,4,"Georgia,Pike",Georgia,Pike,Pike County,0.128,0.543,0.322,0.408,0.523,3.381
681,4,"Georgia,Polk",Georgia,Polk,Polk County,0.378,0.29,0.291,0.342,0.416,-0.733
682,4,"Georgia,Pulaski",Georgia,Pulaski,Pulaski County,0.116,0.508,0.232,0.493,0.465,2.161
683,4,"Georgia,Putnam",Georgia,Putnam,Putnam County,0.145,0.566,0.27,0.44,0.404,1.111
684,4,"Georgia,Quitman",Georgia,Quitman,Quitman County,0.086,0.399,0.171,0.397,0.227,-8.438
685,4,"Georgia,Rabun",Georgia,Rabun,Rabun County,0.294,0.442,0.284,0.508,0.493,1.416
686,4,"Georgia,Randolph",Georgia,Randolph,Randolph County,0.075,0.421,0.227,0.37,0.357,-4.825
687,4,"Georgia,Richmond",Georgia,Richmond,Richmond County,0.591,0.481,0.341,0.355,0.556,0.599
688,4,"Georgia,Rockdale",Georgia,Rockdale,Rockdale County,0.436,0.524,0.216,0.286,0.594,-0.076
689,4,"Georgia,Schley",Georgia,Schley,Schley County,0.13,0.547,0.216,0.454,0.24,-2.223
690,4,"Georgia,Screven",Georgia,Screven,Screven County,0.099,0.51,0.221,0.454,0.431,0.606
691,4,"Georgia,Seminole",Georgia,Seminole,Seminole County,0.159,0.235,0.223,0.461,0.428,-1.242
692,4,"Georgia,Spalding",Georgia,Spalding,Spalding County,0.391,0.564,0.238,0.359,0.466,-0.014
693,4,"Georgia,Stephens",Georgia,Stephens,Stephens County,0.359,0.219,0.231,0.394,0.496,-0.617
694,4,"Georgia,Stewart",Georgia,Stewart,Stewart County,0.094,0.443,0.227,0.403,0.292,-4.131
695,4,"Georgia,Sumter",Georgia,Sumter,Sumter County,0.129,0.541,0.333,0.44,0.5,3.802
696,4,"Georgia,Talbot",Georgia,Talbot,Talbot County,0.06,0.483,0.237,0.371,0.251,-8.001
697,4,"Georgia,Taliaferro",Georgia,Taliaferro,Taliaferro County,0.106,0.659,0.057,0.383,0.112,-9.703
698,4,"Georgia,Tattnall",Georgia,Tattnall,Tattnall County,0.065,0.547,0.278,0.451,0.363,1.689
699,4,"Georgia,Taylor",Georgia,Taylor,Taylor County,0.109,0.511,0.269,0.4,0.292,-1.964
700,4,"Georgia,Telfair",Georgia,Telfair,Telfair County,0.066,0.471,0.259,0.395,0.361,-2.377
701,4,"Georgia,Terrell",Georgia,Terrell,Terrell County,0.06,0.56,0.187,0.398,0.332,-5.174
702,4,"Georgia,Thomas",Georgia,Thomas,Thomas County,0.111,0.536,0.402,0.475,0.5,6.823
703,4,"Georgia,Tift",Georgia,Tift,Tift County,0.257,0.534,0.315,0.39,0.515,1.338
704,4,"Georgia,Toombs",Georgia,Toombs,Toombs County,0.089,0.554,0.289,0.407,0.42,1.679
705,4,"Georgia,Towns",Georgia,Towns,Towns County,0.182,0.472,0.191,0.559,0.611,3.057
706,4,"Georgia,Treutlen",Georgia,Treutlen,Treutlen County,0.08,0.522,0.165,0.334,0.459,-3.945
707,4,"Georgia,Troup",Georgia,Troup,Troup County,0.29,0.501,0.366,0.412,0.448,1.273
708,4,"Georgia,Turner",Georgia,Turner,Turner County,0.06,0.496,0.239,0.392,0.275,-6.063
709,4,"Georgia,Twiggs",Georgia,Twiggs,Twiggs County,0.07,0.526,0.282,0.39,0.323,-1.854
710,4,"Georgia,Union",Georgia,Union,Union County,0.168,0.204,0.231,0.586,0.543,1.951
711,4,"Georgia,Upson",Georgia,Upson,Upson County,0.104,0.479,0.257,0.328,0.4,-2.328
712,4,"Georgia,Walker",Georgia,Walker,Walker County,0.253,0.219,0.274,0.386,0.31,-1.942
713,4,"Georgia,Walton",Georgia,Walton,Walton County,0.345,0.493,0.382,0.286,0.542,0.81
714,4,"Georgia,Ware",Georgia,Ware,Ware County,0.157,0.506,0.302,0.459,0.524,2.964
715,4,"Georgia,Warren",Georgia,Warren,Warren County,0.086,0.64,0.178,0.386,0.258,-4.994
716,4,"Georgia,Washington",Georgia,Washington,Washington County,0.09,0.589,0.348,0.424,0.5,6.029
717,4,"Georgia,Wayne",Georgia,Wayne,Wayne County,0.08,0.475,0.308,0.37,0.448,1.08
718,4,"Georgia,Webster",Georgia,Webster,Webster County,0.1,0.517,0.13,0.441,0.189,-6.782
719,4,"Georgia,Wheeler",Georgia,Wheeler,Wheeler County,0.066,0.532,0.193,0.366,0.374,-4.862
720,4,"Georgia,White",Georgia,White,White County,0.265,0.493,0.219,0.426,0.527,0.606
721,4,"Georgia,Whitfield",Georgia,Whitfield,Whitfield County,0.411,0.234,0.289,0.32,0.38,-1.128
722,4,"Georgia,Wilcox",Georgia,Wilcox,Wilcox County,0.061,0.573,0.136,0.413,0.314,-7.121
723,4,"Georgia,Wilkes",Georgia,Wilkes,Wilkes County,0.099,0.579,0.176,0.409,0.371,-2.184
724,4,"Georgia,Wilkinson",Georgia,Wilkinson,Wilkinson County,0.114,0.59,0.263,0.395,0.509,2.308
725,4,"Georgia,Worth",Georgia,Worth,Worth County,0.07,0.544,0.308,0.394,0.432,2.623
726,4,"Kentucky,Adair",Kentucky,Adair,Adair County,0.11,0.439,0.259,0.325,0.433,-2.023
727,4,"Kentucky,Allen",Kentucky,Allen,Allen County,0.132,0.318,0.265,0.354,0.259,-4.535
728,4,"Kentucky,Anderson",Kentucky,Anderson,Anderson County,0.17,0.703,0.275,0.326,0.556,1.929
729,4,"Kentucky,Ballard",Kentucky,Ballard,Ballard County,0.185,0.666,0.183,0.41,0.473,0.481
730,4,"Kentucky,Barren",Kentucky,Barren,Barren County,0.163,0.355,0.322,0.405,0.407,0.049
731,4,"Kentucky,Bath",Kentucky,Bath,Bath County,0.152,0.677,0.213,0.324,0.269,-2.831
732,4,"Kentucky,Bell",Kentucky,Bell,Bell County,0.199,0.454,0.277,0.451,0.224,-1.301
733,4,"Kentucky,Boone",Kentucky,Boone,Boone County,0.571,0.704,0.289,0.331,0.531,0.58
734,4,"Kentucky,Bourbon",Kentucky,Bourbon,Bourbon County,0.124,0.736,0.284,0.447,0.439,3.668
735,4,"Kentucky,Boyd",Kentucky,Boyd,Boyd County,0.304,0.665,0.236,0.396,0.399,0.166
736,4,"Kentucky,Boyle",Kentucky,Boyle,Boyle County,0.18,0.655,0.213,0.359,0.478,0.245
737,4,"Kentucky,Bracken",Kentucky,Bracken,Bracken County,0.095,0.724,0.199,0.36,0.306,-2.7
738,4,"Kentucky,Breathitt",Kentucky,Breathitt,Breathitt County,0.153,0.587,0.236,0.336,0.22,-3.43
739,4,"Kentucky,Breckinridge",Kentucky,Breckinridge,Breckinridge County,0.098,0.669,0.276,0.359,0.476,2.268
740,4,"Kentucky,Bullitt",Kentucky,Bullitt,Bullitt County,0.386,0.704,0.33,0.372,0.498,1.231
741,4,"Kentucky,Butler",Kentucky,Butler,Butler County,0.089,0.499,0.214,0.352,0.412,-2.896
742,4,"Kentucky,Caldwell",Kentucky,Caldwell,Caldwell County,0.148,0.596,0.232,0.39,0.474,0.706
743,4,"Kentucky,Calloway",Kentucky,Calloway,Calloway County,0.237,0.535,0.304,0.353,0.491,0.747
744,4,"Kentucky,Campbell",Kentucky,Campbell,Campbell County,0.389,0.719,0.174,0.329,0.473,-0.21
745,4,"Kentucky,Carlisle",Kentucky,Carlisle,Carlisle County,0.176,0.604,0.159,0.378,0.338,-2.156
746,4,"Kentucky,Carroll",Kentucky,Carroll,Carroll County,0.153,0.711,0.257,0.354,0.255,-1.51
747,4,"Kentucky,Carter",Kentucky,Carter,Carter County,0.119,0.649,0.272,0.354,0.275,-1.812
748,4,"Kentucky,Casey",Kentucky,Casey,Casey County,0.084,0.465,0.208,0.369,0.319,-5.279
749,4,"Kentucky,Christian",Kentucky,Christian,Christian County,0.288,0.534,0.363,0.449,0.383,1.23
750,4,"Kentucky,Clark",Kentucky,Clark,Clark County,0.172,0.631,0.308,0.35,0.424,0.833
751,4,"Kentucky,Clay",Kentucky,Clay,Clay County,0.163,0.545,0.224,0.424,0.218,-2.37
752,4,"Kentucky,Clinton",Kentucky,Clinton,Clinton County,0.134,0.437,0.199,0.391,0.348,-2.892
753,4,"Kentucky,Crittenden",Kentucky,Crittenden,Crittenden County,0.142,0.568,0.133,0.378,0.336,-3.422
754,4,"Kentucky,Cumberland",Kentucky,Cumberland,Cumberland County,0.128,0.437,0.135,0.35,0.353,-5.068
755,4,"Kentucky,Daviess",Kentucky,Daviess,Daviess County,0.397,0.678,0.359,0.341,0.595,1.618
756,4,"Kentucky,Edmonson",Kentucky,Edmonson,Edmonson County,0.099,0.437,0.199,0.443,0.266,-4.267
757,4,"Kentucky,Elliott",Kentucky,Elliott,Elliott County,0.122,0.622,0.165,0.311,0.24,-5.744
758,4,"Kentucky,Estill",Kentucky,Estill,Estill County,0.179,0.578,0.228,0.353,0.287,-2.137
759,4,"Kentucky,Fayette",Kentucky,Fayette,Fayette County,0.5,0.652,0.369,0.293,0.481,0.6
760,4,"Kentucky,Fleming",Kentucky,Fleming,Fleming County,0.163,0.678,0.225,0.319,0.369,-1.31
761,4,"Kentucky,Floyd",Kentucky,Floyd,Floyd County,0.17,0.621,0.282,0.243,0.385,-1.62
762,4,"Kentucky,Franklin",Kentucky,Franklin,Franklin County,0.243,0.656,0.226,0.335,0.568,0.814
763,4,"Kentucky,Fulton",Kentucky,Fulton,Fulton County,0.201,0.564,0.107,0.426,0.206,-3.479
764,4,"Kentucky,Gallatin",Kentucky,Gallatin,Gallatin County,0.175,0.72,0.2,0.353,0.324,-1.379
765,4,"Kentucky,Garrard",Kentucky,Garrard,Garrard County,0.115,0.632,0.253,0.359,0.428,0.242
766,4,"Kentucky,Grant",Kentucky,Grant,Grant County,0.103,0.677,0.299,0.37,0.481,3.164
767,4,"Kentucky,Graves",Kentucky,Graves,Graves County,0.2,0.531,0.288,0.373,0.447,0.473
768,4,"Kentucky,Grayson",Kentucky,Grayson,Grayson County,0.242,0.541,0.238,0.327,0.401,-0.966
769,4,"Kentucky,Green",Kentucky,Green,Green County,0.116,0.486,0.184,0.351,0.431,-2.692
770,4,"Kentucky,Greenup",Kentucky,Greenup,Greenup County,0.253,0.694,0.346,0.345,0.358,0.659
771,4,"Kentucky,Hancock",Kentucky,Hancock,Hancock County,0.204,0.731,0.222,0.363,0.475,0.726
772,4,"Kentucky,Hardin",Kentucky,Hardin,Hardin County,0.283,0.607,0.428,0.376,0.466,2.081
773,4,"Kentucky,Harlan",Kentucky,Harlan,Harlan County,0.198,0.423,0.266,0.326,0.291,-2.487
774,4,"Kentucky,Harrison",Kentucky,Harrison,Harrison County,0.135,0.698,0.236,0.394,0.479,1.744
775,4,"Kentucky,Hart",Kentucky,Hart,Hart County,0.138,0.461,0.215,0.332,0.264,-4.58
776,4,"Kentucky,Henderson",Kentucky,Henderson,Henderson County,0.252,0.693,0.399,0.412,0.432,2.453
777,4,"Kentucky,Henry",Kentucky,Henry,Henry County,0.11,0.715,0.219,0.369,0.443,0.695
778,4,"Kentucky,Hickman",Kentucky,Hickman,Hickman County,0.159,0.534,0.081,0.398,0.448,-2.468
779,4,"Kentucky,Hopkins",Kentucky,Hopkins,Hopkins County,0.198,0.593,0.368,0.35,0.494,2.046
780,4,"Kentucky,Jackson",Kentucky,Jackson,Jackson County,0.145,0.52,0.276,0.418,0.277,-1.2
781,4,"Kentucky,Jefferson",Kentucky,Jefferson,Jefferson County,0.675,0.665,0.507,0.23,0.466,0.735
782,4,"Kentucky,Jessamine",Kentucky,Jessamine,Jessamine County,0.344,0.632,0.283,0.364,0.436,0.398
783,4,"Kentucky,Johnson",Kentucky,Johnson,Johnson County,0.232,0.636,0.234,0.293,0.308,-1.786
784,4,"Kentucky,Kenton",Kentucky,Kenton,Kenton County,0.667,0.711,0.21,0.311,0.474,-0.051
785,4,"Kentucky,Knott",Kentucky,Knott,Knott County,0.123,0.59,0.287,0.346,0.215,-3.02
786,4,"Kentucky,Knox",Kentucky,Knox,Knox County,0.131,0.453,0.222,0.407,0.316,-2.553
787,4,"Kentucky,Larue",Kentucky,Larue,Larue County,0.097,0.581,0.212,0.364,0.513,0.497
788,4,"Kentucky,Laurel",Kentucky,Laurel,Laurel County,0.313,0.498,0.308,0.41,0.408,0.41
789,4,"Kentucky,Lawrence",Kentucky,Lawrence,Lawrence County,0.144,0.656,0.263,0.339,0.24,-2.35
790,4,"Kentucky,Lee",Kentucky,Lee,Lee County,0.174,0.595,0.232,0.356,0.233,-2.594
791,4,"Kentucky,Leslie",Kentucky,Leslie,Leslie County,0.16,0.552,0.243,0.412,0.164,-2.904
792,4,"Kentucky,Letcher",Kentucky,Letcher,Letcher County,0.143,0.528,0.278,0.306,0.204,-4.049
793,4,"Kentucky,Lewis",Kentucky,Lewis,Lewis County,0.138,0.631,0.166,0.328,0.217,-5.04
794,4,"Kentucky,Lincoln",Kentucky,Lincoln,Lincoln County,0.121,0.516,0.306,0.352,0.511,1.671
795,4,"Kentucky,Livingston",Kentucky,Livingston,Livingston County,0.237,0.61,0.189,0.352,0.44,-0.662
796,4,"Kentucky,Logan",Kentucky,Logan,Logan County,0.15,0.545,0.31,0.424,0.423,1.608
797,4,"Kentucky,Lyon",Kentucky,Lyon,Lyon County,0.188,0.511,0.159,0.532,0.496,1.153
798,4,"Kentucky,Madison",Kentucky,Madison,Madison County,0.373,0.598,0.394,0.379,0.458,1.287
799,4,"Kentucky,Magoffin",Kentucky,Magoffin,Magoffin County,0.3,0.596,0.178,0.294,0.214,-2.623
800,4,"Kentucky,Marion",Kentucky,Marion,Marion County,0.109,0.619,0.239,0.407,0.511,2.357
801,4,"Kentucky,Marshall",Kentucky,Marshall,Marshall County,0.369,0.557,0.278,0.349,0.502,0.384
802,4,"Kentucky,Martin",Kentucky,Martin,Martin County,0.168,0.614,0.238,0.31,0.063,-5.153
803,4,"Kentucky,Mason",Kentucky,Mason,Mason County,0.151,0.686,0.243,0.334,0.451,0.271
804,4,"Kentucky,McCracken",Kentucky,McCracken,McCracken County,0.615,0.605,0.29,0.373,0.517,0.507
805,4,"Kentucky,McCreary",Kentucky,McCreary,McCreary County,0.161,0.39,0.213,0.496,0.165,-3.092
806,4,"Kentucky,McLean",Kentucky,McLean,McLean County,0.171,0.666,0.19,0.379,0.407,-0.557
807,4,"Kentucky,Meade",Kentucky,Meade,Meade County,0.114,0.662,0.301,0.393,0.343,0.897
808,4,"Kentucky,Menifee",Kentucky,Menifee,Menifee County,0.204,0.612,0.261,0.412,0.386,0.383
809,4,"Kentucky,Mercer",Kentucky,Mercer,Mercer County,0.18,0.649,0.281,0.337,0.465,0.773
810,4,"Kentucky,Metcalfe",Kentucky,Metcalfe,Metcalfe County,0.067,0.403,0.143,0.375,0.266,-11.52
811,4,"Kentucky,Monroe",Kentucky,Monroe,Monroe County,0.16,0.359,0.147,0.35,0.244,-5.658
812,4,"Kentucky,Montgomery",Kentucky,Montgomery,Montgomery County,0.194,0.677,0.278,0.388,0.393,0.736
813,4,"Kentucky,Morgan",Kentucky,Morgan,Morgan County,0.339,0.642,0.253,0.304,0.381,-0.551
814,4,"Kentucky,Muhlenberg",Kentucky,Muhlenberg,Muhlenberg County,0.129,0.543,0.293,0.374,0.508,1.88
815,4,"Kentucky,Nelson",Kentucky,Nelson,Nelson County,0.162,0.687,0.346,0.404,0.566,4.397
816,4,"Kentucky,Nicholas",Kentucky,Nicholas,Nicholas County,0.106,0.688,0.152,0.378,0.39,-2.031
817,4,"Kentucky,Ohio",Kentucky,Ohio,Ohio County,0.137,0.668,0.299,0.376,0.486,2.522
818,4,"Kentucky,Oldham",Kentucky,Oldham,Oldham County,0.41,0.747,0.288,0.346,0.538,1.032
819,4,"Kentucky,Owen",Kentucky,Owen,Owen County,0.096,0.639,0.27,0.352,0.41,0.312
820,4,"Kentucky,Owsley",Kentucky,Owsley,Owsley County,0.227,0.589,0.202,0.377,0.254,-1.961
821,4,"Kentucky,Pendleton",Kentucky,Pendleton,Pendleton County,0.119,0.703,0.253,0.384,0.52,2.882
822,4,"Kentucky,Perry",Kentucky,Perry,Perry County,0.195,0.574,0.306,0.299,0.279,-1.687
823,4,"Kentucky,Pike",Kentucky,Pike,Pike County,0.151,0.613,0.478,0.271,0.32,1.218
824,4,"Kentucky,Powell",Kentucky,Powell,Powell County,0.2,0.59,0.272,0.408,0.298,-0.481
825,4,"Kentucky,Pulaski",Kentucky,Pulaski,Pulaski County,0.329,0.411,0.307,0.469,0.427,0.671
826,4,"Kentucky,Robertson",Kentucky,Robertson,Robertson County,0.128,0.671,0.184,0.353,0.195,-4.572
827,4,"Kentucky,Rockcastle",Kentucky,Rockcastle,Rockcastle County,0.2,0.531,0.306,0.375,0.386,0.12
828,4,"Kentucky,Rowan",Kentucky,Rowan,Rowan County,0.225,0.646,0.321,0.408,0.444,1.676
829,4,"Kentucky,Russell",Kentucky,Russell,Russell County,0.147,0.418,0.192,0.454,0.478,-0.114
830,4,"Kentucky,Scott",Kentucky,Scott,Scott County,0.252,0.708,0.338,0.382,0.453,1.736
831,4,"Kentucky,Shelby",Kentucky,Shelby,Shelby County,0.215,0.689,0.376,0.411,0.519,3.348
832,4,"Kentucky,Simpson",Kentucky,Simpson,Simpson County,0.145,0.398,0.24,0.396,0.386,-1.605
833,4,"Kentucky,Spencer",Kentucky,Spencer,Spencer County,0.087,0.73,0.278,0.349,0.568,5.104
834,4,"Kentucky,Taylor",Kentucky,Taylor,Taylor County,0.151,0.501,0.215,0.472,0.469,1.029
835,4,"Kentucky,Todd",Kentucky,Todd,Todd County,0.125,0.556,0.23,0.443,0.34,-0.607
836,4,"Kentucky,Trigg",Kentucky,Trigg,Trigg County,0.134,0.499,0.23,0.564,0.452,2.9
837,4,"Kentucky,Trimble",Kentucky,Trimble,Trimble County,0.148,0.707,0.126,0.342,0.395,-2.303
838,4,"Kentucky,Union",Kentucky,Union,Union County,0.138,0.672,0.258,0.416,0.421,1.518
839,4,"Kentucky,Warren",Kentucky,Warren,Warren County,0.297,0.365,0.408,0.324,0.466,0.551
840,4,"Kentucky,Washington",Kentucky,Washington,Washington County,0.12,0.705,0.23,0.354,0.605,3.137
841,4,"Kentucky,Wayne",Kentucky,Wayne,Wayne County,0.121,0.334,0.188,0.352,0.332,-5.349
842,4,"Kentucky,Webster",Kentucky,Webster,Webster County,0.282,0.692,0.235,0.383,0.475,0.69
843,4,"Kentucky,Whitley",Kentucky,Whitley,Whitley County,0.21,0.481,0.236,0.384,0.374,-0.994
844,4,"Kentucky,Wolfe",Kentucky,Wolfe,Wolfe County,0.189,0.551,0.159,0.384,0.13,-4.377
845,4,"Kentucky,Woodford",Kentucky,Woodford,Woodford County,0.195,0.651,0.303,0.45,0.471,2.502
846,4,"Mississippi,Adams",Mississippi,Adams,Adams County,0.19,0.602,0.3,0.467,0.467,2.446
847,4,"Mississippi,Alcorn",Mississippi,Alcorn,Alcorn County,0.122,0.45,0.317,0.327,0.44,-0.311
848,4,"Mississippi,Amite",Mississippi,Amite,Amite County,0.204,0.508,0.358,0.449,0.364,1.385
849,4,"Mississippi,Attala",Mississippi,Attala,Attala County,0.229,0.602,0.299,0.386,0.353,0.174
850,4,"Mississippi,Benton",Mississippi,Benton,Benton County,0.332,0.6,0.233,0.445,0.164,-1.086
851,4,"Mississippi,Bolivar",Mississippi,Bolivar,Bolivar County,0.249,0.681,0.445,0.456,0.365,2.833
852,4,"Mississippi,Calhoun",Mississippi,Calhoun,Calhoun County,0.114,0.607,0.326,0.363,0.301,-0.375
853,4,"Mississippi,Carroll",Mississippi,Carroll,Carroll County,0.268,0.606,0.298,0.367,0.304,-0.378
854,4,"Mississippi,Chickasaw",Mississippi,Chickasaw,Chickasaw County,0.176,0.605,0.339,0.528,0.347,2.767
855,4,"Mississippi,Choctaw",Mississippi,Choctaw,Choctaw County,0.31,0.626,0.282,0.418,0.392,0.573
856,4,"Mississippi,Claiborne",Mississippi,Claiborne,Claiborne County,0.281,0.505,0.228,0.403,0.386,-0.499
857,4,"Mississippi,Clarke",Mississippi,Clarke,Clarke County,0.251,0.505,0.347,0.415,0.384,0.815
858,4,"Mississippi,Clay",Mississippi,Clay,Clay County,0.244,0.58,0.341,0.49,0.306,1.212
859,4,"Mississippi,Coahoma",Mississippi,Coahoma,Coahoma County,0.204,0.664,0.346,0.463,0.345,1.961
860,4,"Mississippi,Copiah",Mississippi,Copiah,Copiah County,0.191,0.463,0.355,0.41,0.399,1.055
861,4,"Mississippi,Covington",Mississippi,Covington,Covington County,0.28,0.485,0.334,0.423,0.441,1.006
862,4,"Mississippi,DeSoto",Mississippi,DeSoto,DeSoto County,0.638,0.677,0.433,0.423,0.449,1.182
863,4,"Mississippi,Forrest",Mississippi,Forrest,Forrest County,0.586,0.428,0.394,0.516,0.465,1.127
864,4,"Mississippi,Franklin",Mississippi,Franklin,Franklin County,0.26,0.586,0.219,0.459,0.377,0.151
865,4,"Mississippi,George",Mississippi,George,George County,0.178,0.358,0.328,0.533,0.473,2.649
866,4,"Mississippi,Greene",Mississippi,Greene,Greene County,0.208,0.426,0.324,0.481,0.317,0.448
867,4,"Mississippi,Grenada",Mississippi,Grenada,Grenada County,0.212,0.616,0.296,0.4,0.376,0.602
868,4,"Mississippi,Hancock",Mississippi,Hancock,Hancock County,0.429,0.388,0.43,0.451,0.336,0.708
869,4,"Mississippi,Harrison",Mississippi,Harrison,Harrison County,0.754,0.485,0.462,0.453,0.428,0.891
870,4,"Mississippi,Hinds",Mississippi,Hinds,Hinds County,0.392,0.521,0.554,0.4,0.519,2.55
871,4,"Mississippi,Holmes",Mississippi,Holmes,Holmes County,0.214,0.63,0.327,0.444,0.293,0.793
872,4,"Mississippi,Humphreys",Mississippi,Humphreys,Humphreys County,0.281,0.666,0.229,0.55,0.242,0.366
