,EPAREGION,"State,County",State,County,County_with_county_appended,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
48,1,"New Hampshire,Sullivan",New Hampshire,Sullivan,Sullivan County,0.12,0.92,0.363,0.379,0.594,8.2
49,1,"Rhode Island,Bristol",Rhode Island,Bristol,Bristol County,0.385,0.869,0.11,0.531,0.584,1.601
50,1,"Rhode Island,Kent",Rhode Island,Kent,Kent County,0.51,0.862,0.24,0.443,0.605,1.529
51,1,"Rhode Island,Newport",Rhode Island,Newport,Newport County,0.207,0.854,0.232,0.643,0.551,5.483
52,1,"Rhode Island,Providence",Rhode Island,Providence,Providence County,0.51,0.863,0.535,0.326,0.551,2.298
53,1,"Rhode Island,Washington",Rhode Island,Washington,Washington County,0.248,0.874,0.391,0.614,0.637,6.756
54,1,"Vermont,Addison",Vermont,Addison,Addison County,0.089,0.989,0.473,0.49,0.712,20.832
55,1,"Vermont,Bennington",Vermont,Bennington,Bennington County,0.154,0.933,0.435,0.469,0.613,9.414
56,1,"Vermont,Caledonia",Vermont,Caledonia,Caledonia County,0.115,0.942,0.401,0.396,0.815,13.744
57,1,"Vermont,Chittenden",Vermont,Chittenden,Chittenden County,0.261,0.912,0.661,0.387,0.604,6.946
58,1,"Vermont,Franklin",Vermont,Franklin,Franklin County,0.242,0.923,0.427,0.386,0.651,5.319
59,1,"Vermont,Grand Isle",Vermont,Grand Isle,Grand Isle County,0.063,0.985,0.334,0.365,0.714,18.709
60,1,"Vermont,Lamoille",Vermont,Lamoille,Lamoille County,0.08,0.922,0.389,0.438,0.665,16.702
61,1,"Vermont,Orange",Vermont,Orange,Orange County,0.14,0.961,0.4,0.351,0.689,8.895
62,1,"Vermont,Orleans",Vermont,Orleans,Orleans County,0.185,0.957,0.436,0.439,0.793,9.509
63,1,"Vermont,Rutland",Vermont,Rutland,Rutland County,0.09,0.929,0.52,0.441,0.662,18.98
64,1,"Vermont,Washington",Vermont,Washington,Washington County,0.11,0.937,0.469,0.381,0.72,13.996
65,1,"Vermont,Windham",Vermont,Windham,Windham County,0.104,0.932,0.467,0.364,0.638,12.735
66,1,"Vermont,Windsor",Vermont,Windsor,Windsor County,0.188,0.915,0.558,0.367,0.651,8.435
67,2,"New Jersey,Atlantic",New Jersey,Atlantic,Atlantic County,0.477,0.77,0.52,0.507,0.431,2.617
68,2,"New Jersey,Bergen",New Jersey,Bergen,Bergen County,0.582,0.804,0.464,0.202,0.586,1.184
69,2,"New Jersey,Burlington",New Jersey,Burlington,Burlington County,0.538,0.812,0.567,0.558,0.547,3.29
70,2,"New Jersey,Camden",New Jersey,Camden,Camden County,0.532,0.795,0.444,0.296,0.506,1.315
71,2,"New Jersey,Cape May",New Jersey,Cape May,Cape May County,0.382,0.755,0.401,0.565,0.462,2.934
72,2,"New Jersey,Cumberland",New Jersey,Cumberland,Cumberland County,0.313,0.794,0.437,0.549,0.444,3.78
73,2,"New Jersey,Essex",New Jersey,Essex,Essex County,0.519,0.791,0.467,0.1,0.531,0.628
74,2,"New Jersey,Gloucester",New Jersey,Gloucester,Gloucester County,0.553,0.806,0.453,0.379,0.489,1.638
75,2,"New Jersey,Hudson",New Jersey,Hudson,Hudson County,0.525,0.797,0.402,0.233,0.465,0.679
76,2,"New Jersey,Hunterdon",New Jersey,Hunterdon,Hunterdon County,0.386,0.839,0.512,0.48,0.598,4.034
77,2,"New Jersey,Mercer",New Jersey,Mercer,Mercer County,0.496,0.797,0.448,0.362,0.492,1.708
78,2,"New Jersey,Middlesex",New Jersey,Middlesex,Middlesex County,0.522,0.785,0.601,0.253,0.561,2.125
79,2,"New Jersey,Monmouth",New Jersey,Monmouth,Monmouth County,0.728,0.784,0.615,0.485,0.534,2.282
80,2,"New Jersey,Morris",New Jersey,Morris,Morris County,0.511,0.826,0.524,0.449,0.595,2.929
81,2,"New Jersey,Ocean",New Jersey,Ocean,Ocean County,0.806,0.781,0.596,0.546,0.448,1.974
82,2,"New Jersey,Passaic",New Jersey,Passaic,Passaic County,0.494,0.816,0.384,0.432,0.522,1.877
83,2,"New Jersey,Salem",New Jersey,Salem,Salem County,0.209,0.816,0.338,0.503,0.459,4.096
84,2,"New Jersey,Somerset",New Jersey,Somerset,Somerset County,0.585,0.815,0.486,0.339,0.573,1.829
85,2,"New Jersey,Sussex",New Jersey,Sussex,Sussex County,0.406,0.86,0.405,0.468,0.563,2.945
86,2,"New Jersey,Union",New Jersey,Union,Union County,0.337,0.777,0.388,0.129,0.561,0.685
87,2,"New Jersey,Warren",New Jersey,Warren,Warren County,0.339,0.85,0.441,0.493,0.513,3.671
88,2,"New York,Albany",New York,Albany,Albany County,0.455,0.807,0.542,0.343,0.639,2.973
89,2,"New York,Allegany",New York,Allegany,Allegany County,0.118,0.871,0.482,0.343,0.385,6.393
90,2,"New York,Bronx",New York,Bronx,Bronx County,0.529,0.785,0.297,0.203,0.409,-0.225
91,2,"New York,Broome",New York,Broome,Broome County,0.381,0.822,0.505,0.335,0.497,2.543
92,2,"New York,Cattaraugus",New York,Cattaraugus,Cattaraugus County,0.186,0.856,0.56,0.46,0.421,7.03
93,2,"New York,Cayuga",New York,Cayuga,Cayuga County,0.139,0.878,0.464,0.368,0.571,8.215
94,2,"New York,Chautauqua",New York,Chautauqua,Chautauqua County,0.152,0.834,0.567,0.399,0.414,7.49
95,2,"New York,Chemung",New York,Chemung,Chemung County,0.204,0.829,0.339,0.304,0.472,2.002
96,2,"New York,Chenango",New York,Chenango,Chenango County,0.16,0.867,0.393,0.362,0.474,4.597
97,2,"New York,Clinton",New York,Clinton,Clinton County,0.154,0.837,0.587,0.412,0.534,9.484
98,2,"New York,Columbia",New York,Columbia,Columbia County,0.155,0.829,0.412,0.387,0.603,6.865
99,2,"New York,Cortland",New York,Cortland,Cortland County,0.146,0.863,0.331,0.341,0.527,4.245
100,2,"New York,Delaware",New York,Delaware,Delaware County,0.21,0.836,0.519,0.375,0.485,5.207
101,2,"New York,Dutchess",New York,Dutchess,Dutchess County,0.521,0.823,0.612,0.366,0.587,2.895
102,2,"New York,Erie",New York,Erie,Erie County,0.463,0.81,0.713,0.296,0.55,3.278
103,2,"New York,Essex",New York,Essex,Essex County,0.126,0.85,0.53,0.493,0.561,12.497
104,2,"New York,Franklin",New York,Franklin,Franklin County,0.138,0.853,0.44,0.56,0.531,10.467
105,2,"New York,Fulton",New York,Fulton,Fulton County,0.14,0.813,0.282,0.406,0.464,3.386
106,2,"New York,Genesee",New York,Genesee,Genesee County,0.205,0.864,0.377,0.393,0.544,4.406
107,2,"New York,Greene",New York,Greene,Greene County,0.188,0.83,0.465,0.356,0.495,4.869
108,2,"New York,Hamilton",New York,Hamilton,Hamilton County,0.062,0.937,0.354,0.565,0.556,22.062
109,2,"New York,Herkimer",New York,Herkimer,Herkimer County,0.112,0.85,0.503,0.49,0.422,10.901
110,2,"New York,Jefferson",New York,Jefferson,Jefferson County,0.147,0.856,0.672,0.446,0.485,11.523
111,2,"New York,Kings",New York,Kings,Kings County,0.366,0.768,0.31,0.33,0.502,1.065
112,2,"New York,Lewis",New York,Lewis,Lewis County,0.095,0.901,0.463,0.456,0.516,13.405
113,2,"New York,Livingston",New York,Livingston,Livingston County,0.116,0.869,0.48,0.449,0.539,11.341
114,2,"New York,Madison",New York,Madison,Madison County,0.144,0.853,0.42,0.403,0.538,7.063
115,2,"New York,Monroe",New York,Monroe,Monroe County,0.375,0.832,0.623,0.364,0.519,3.765
116,2,"New York,Montgomery",New York,Montgomery,Montgomery County,0.143,0.856,0.26,0.322,0.492,2.146
117,2,"New York,Nassau",New York,Nassau,Nassau County,0.351,0.772,0.564,0.342,0.703,4.263
118,2,"New York,New York",New York,New York,New York County,0.569,0.756,0.376,0.259,0.46,0.523
119,2,"New York,Niagara",New York,Niagara,Niagara County,0.279,0.822,0.432,0.425,0.481,3.453
120,2,"New York,Oneida",New York,Oneida,Oneida County,0.235,0.82,0.676,0.398,0.525,6.946
121,2,"New York,Onondaga",New York,Onondaga,Onondaga County,0.458,0.831,0.59,0.353,0.567,3.025
122,2,"New York,Ontario",New York,Ontario,Ontario County,0.159,0.855,0.528,0.413,0.555,8.615
123,2,"New York,Orange",New York,Orange,Orange County,0.52,0.828,0.704,0.362,0.591,3.379
124,2,"New York,Orleans",New York,Orleans,Orleans County,0.162,0.858,0.325,0.431,0.443,4.025
125,2,"New York,Oswego",New York,Oswego,Oswego County,0.166,0.852,0.565,0.33,0.389,5.619
126,2,"New York,Otsego",New York,Otsego,Otsego County,0.149,0.857,0.441,0.337,0.528,6.022
127,2,"New York,Putnam",New York,Putnam,Putnam County,0.411,0.825,0.403,0.463,0.633,3.106
128,2,"New York,Queens",New York,Queens,Queens County,0.336,0.764,0.467,0.318,0.578,2.75
129,2,"New York,Rensselaer",New York,Rensselaer,Rensselaer County,0.371,0.838,0.478,0.359,0.531,2.802
130,2,"New York,Richmond",New York,Richmond,Richmond County,0.508,0.789,0.314,0.431,0.579,1.62
131,2,"New York,Rockland",New York,Rockland,Rockland County,0.556,0.811,0.345,0.34,0.618,1.402
132,2,"New York,Saratoga",New York,Saratoga,Saratoga County,0.473,0.836,0.535,0.355,0.566,2.631
133,2,"New York,Schenectady",New York,Schenectady,Schenectady County,0.39,0.82,0.218,0.274,0.528,0.282
134,2,"New York,Schoharie",New York,Schoharie,Schoharie County,0.077,0.887,0.32,0.31,0.525,6.912
135,2,"New York,Schuyler",New York,Schuyler,Schuyler County,0.099,0.872,0.312,0.394,0.545,7.514
136,2,"New York,Seneca",New York,Seneca,Seneca County,0.134,0.879,0.328,0.427,0.492,5.743
137,2,"New York,St. Lawrence",New York,St. Lawrence,St. Lawrence County,0.117,0.857,0.691,0.508,0.453,15.68
138,2,"New York,Steuben",New York,Steuben,Steuben County,0.105,0.862,0.707,0.353,0.445,14.118
139,2,"New York,Suffolk",New York,Suffolk,Suffolk County,0.383,0.787,0.738,0.512,0.683,6.145
140,2,"New York,Sullivan",New York,Sullivan,Sullivan County,0.183,0.815,0.553,0.361,0.512,6.476
