"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"30000","Montana state total","7","CA5N","512","327","          Nonmetallic mineral product manufacturing",41536,38478,45949,45270,47673,45473,51892,50390,41951,39690,41942,75779,80299,81481
"30000","Montana state total","7","CA5N","513","331","          Primary metal manufacturing",40867,28118,21707,14925,15223,16213,27667,26137,12957,4640,6689,6267,7465,8508
"30000","Montana state total","7","CA5N","514","332","          Fabricated metal product manufacturing",48646,49630,50643,51706,55580,64881,76415,82336,74029,75658,87196,110622,114310,130554
"30000","Montana state total","7","CA5N","515","333","          Machinery manufacturing",72577,64336,56215,59128,67981,80335,76867,78392,63964,70971,71167,73223,76160,74669
"30000","Montana state total","7","CA5N","516","334","          Computer and electronic product manufacturing",26997,23555,20135,19868,25762,25173,28318,27955,20744,20973,26853,29230,30733,33189
"30000","Montana state total","7","CA5N","517","335","          Electrical equipment, appliance, and component manufacturing",6021,6197,6625,8584,9307,10317,11202,13801,12233,12240,11409,11005,8068,8783
"30000","Montana state total","7","CA5N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",13899,"(D)","(D)","(D)",15400,18413,19789,"(D)","(D)",15743,16845,13249,15323,16849
"30000","Montana state total","7","CA5N","519","3364-3369","          Other transportation equipment manufacturing",7532,"(D)","(D)","(D)",8500,8509,8356,"(D)","(D)",10110,13461,17877,19845,20290
"30000","Montana state total","7","CA5N","521","337","          Furniture and related product manufacturing",32151,32444,32728,33847,34929,36091,36127,37345,28636,26026,26407,26036,28940,31206
"30000","Montana state total","7","CA5N","522","339","          Miscellaneous manufacturing",60273,62713,59985,60216,67186,74440,89314,86716,88664,88288,85595,85481,94709,103110
"30000","Montana state total","7","CA5N","530","311-316,322-326","        Nondurable goods manufacturing",333980,333879,357534,373365,388491,421719,439564,464866,461486,459773,465021,457020,461832,502990
"30000","Montana state total","7","CA5N","531","311","          Food manufacturing",78789,81088,81503,90941,93039,99782,103437,107368,107191,109436,109130,110077,111961,119420
"30000","Montana state total","7","CA5N","532","312","          Beverage and tobacco product manufacturing",27091,27325,28371,29939,29589,31505,28860,29986,29905,33262,35207,39210,43688,46137
"30000","Montana state total","7","CA5N","533","313","          Textile mills","(D)","(D)","(D)","(D)","(D)","(D)",712,590,651,"(D)","(D)",640,"(D)",550
"30000","Montana state total","7","CA5N","534","314","          Textile product mills",5273,4530,4577,4789,4580,4961,5738,6102,5804,5998,5979,5609,5516,5452
"30000","Montana state total","7","CA5N","535","315","          Apparel manufacturing",3522,4225,6352,8504,8321,9228,"(D)","(D)","(D)","(D)","(D)","(D)",2448,"(D)"
"30000","Montana state total","7","CA5N","536","316","          Leather and allied product manufacturing",3344,4491,8089,4789,2741,3147,2458,2515,2655,2741,2694,2897,3608,3648
"30000","Montana state total","7","CA5N","537","322","          Paper manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",22440,"(D)","(D)","(D)","(D)"
"30000","Montana state total","7","CA5N","538","323","          Printing and related support activities",31618,32296,33220,34458,36104,40288,44848,46943,39028,36986,39702,41655,43230,46150
"30000","Montana state total","7","CA5N","539","324","          Petroleum and coal products manufacturing",100170,92572,102494,100001,109972,130643,131850,146316,156636,158812,166936,179090,174865,197070
"30000","Montana state total","7","CA5N","541","325","          Chemical manufacturing",35239,37223,42580,46700,50477,46742,59492,63533,64664,70050,80237,52412,56093,64679
"30000","Montana state total","7","CA5N","542","326","          Plastics and rubber products manufacturing",8328,8268,7860,9040,9934,11163,12896,13246,12469,13721,15264,16200,17740,17231
"30000","Montana state total","7","CA5N","600","42","      Wholesale trade",650675,682592,701528,773579,836098,923415,1015362,1020107,961595,971739,1030167,1120778,1183101,1229945
"30000","Montana state total","7","CA5N","700","44-45","      Retail trade",1448208,1536844,1579382,1641123,1709795,1821625,1929595,1908189,1843607,1886235,1965445,2044425,2088883,2202105
"30000","Montana state total","7","CA5N","701","441","        Motor vehicle and parts dealers",278000,293502,311336,316642,326195,343165,363197,342175,313047,339744,364639,388754,414346,437946
"30000","Montana state total","7","CA5N","702","442","        Furniture and home furnishings stores",50454,55009,59818,67174,73258,80544,87953,84421,67619,64937,64006,67602,73079,76650
