"","EPAREGION","State","County","Risk","Governance","Built Environment","Natural Environment","Society","CRSI"
"77",2,"New Jersey","Mercer","0.496",0.797,0.448,0.362,0.492,1.708
"78",2,"New Jersey","Middlesex","0.522",0.785,0.601,0.253,0.561,2.125
"79",2,"New Jersey","Monmouth","0.728",0.784,0.615,0.485,0.534,2.282
"80",2,"New Jersey","Morris","0.511",0.826,0.524,0.449,0.595,2.929
"81",2,"New Jersey","Ocean","0.806",0.781,0.596,0.546,0.448,1.974
"82",2,"New Jersey","Passaic","0.494",0.816,0.384,0.432,0.522,1.877
"83",2,"New Jersey","Salem","0.209",0.816,0.338,0.503,0.459,4.096
"84",2,"New Jersey","Somerset","0.585",0.815,0.486,0.339,0.573,1.829
"85",2,"New Jersey","Sussex","0.406",0.86,0.405,0.468,0.563,2.945
"86",2,"New Jersey","Union","0.337",0.777,0.388,0.129,0.561,0.685
"87",2,"New Jersey","Warren","0.339",0.85,0.441,0.493,0.513,3.671
"88",2,"New York","Albany","0.455",0.807,0.542,0.343,0.639,2.973
"89",2,"New York","Allegany","0.118",0.871,0.482,0.343,0.385,6.393
"90",2,"New York","Bronx","0.529",0.785,0.297,0.203,0.409,-0.225
"91",2,"New York","Broome","0.381",0.822,0.505,0.335,0.497,2.543
"92",2,"New York","Cattaraugus","0.186",0.856,0.56,0.46,0.421,7.03
"93",2,"New York","Cayuga","0.139",0.878,0.464,0.368,0.571,8.215
"94",2,"New York","Chautauqua","0.152",0.834,0.567,0.399,0.414,7.49
"95",2,"New York","Chemung","0.204",0.829,0.339,0.304,0.472,2.002
"96",2,"New York","Chenango","0.16",0.867,0.393,0.362,0.474,4.597
"97",2,"New York","Clinton","0.154",0.837,0.587,0.412,0.534,9.484
"98",2,"New York","Columbia","0.155",0.829,0.412,0.387,0.603,6.865
"99",2,"New York","Cortland","0.146",0.863,0.331,0.341,0.527,4.245
"100",2,"New York","Delaware","0.21",0.836,0.519,0.375,0.485,5.207
"101",2,"New York","Dutchess","0.521",0.823,0.612,0.366,0.587,2.895
"102",2,"New York","Erie","0.463",0.81,0.713,0.296,0.55,3.278
"103",2,"New York","Essex","0.126",0.85,0.53,0.493,0.561,12.497
"104",2,"New York","Franklin","0.138",0.853,0.44,0.56,0.531,10.467
"105",2,"New York","Fulton","0.14",0.813,0.282,0.406,0.464,3.386
"106",2,"New York","Genesee","0.205",0.864,0.377,0.393,0.544,4.406
"107",2,"New York","Greene","0.188",0.83,0.465,0.356,0.495,4.869
"108",2,"New York","Hamilton","0.062",0.937,0.354,0.565,0.556,22.062
"109",2,"New York","Herkimer","0.112",0.85,0.503,0.49,0.422,10.901
"110",2,"New York","Jefferson","0.147",0.856,0.672,0.446,0.485,11.523
"111",2,"New York","Kings","0.366",0.768,0.31,0.33,0.502,1.065
"112",2,"New York","Lewis","0.095",0.901,0.463,0.456,0.516,13.405
"113",2,"New York","Livingston","0.116",0.869,0.48,0.449,0.539,11.341
"114",2,"New York","Madison","0.144",0.853,0.42,0.403,0.538,7.063
"115",2,"New York","Monroe","0.375",0.832,0.623,0.364,0.519,3.765
"116",2,"New York","Montgomery","0.143",0.856,0.26,0.322,0.492,2.146
"117",2,"New York","Nassau","0.351",0.772,0.564,0.342,0.703,4.263
"118",2,"New York","New York","0.569",0.756,0.376,0.259,0.46,0.523
"119",2,"New York","Niagara","0.279",0.822,0.432,0.425,0.481,3.453
"120",2,"New York","Oneida","0.235",0.82,0.676,0.398,0.525,6.946
"121",2,"New York","Onondaga","0.458",0.831,0.59,0.353,0.567,3.025
"122",2,"New York","Ontario","0.159",0.855,0.528,0.413,0.555,8.615
"123",2,"New York","Orange","0.52",0.828,0.704,0.362,0.591,3.379
"124",2,"New York","Orleans","0.162",0.858,0.325,0.431,0.443,4.025
"125",2,"New York","Oswego","0.166",0.852,0.565,0.33,0.389,5.619
"126",2,"New York","Otsego","0.149",0.857,0.441,0.337,0.528,6.022
"127",2,"New York","Putnam","0.411",0.825,0.403,0.463,0.633,3.106
"128",2,"New York","Queens","0.336",0.764,0.467,0.318,0.578,2.75
"129",2,"New York","Rensselaer","0.371",0.838,0.478,0.359,0.531,2.802
