FIPS,clay_mean,ec_mean,ph_mean,sand_mean,soc_mean,clay_sd,ec_sd,ph_sd,sand_sd,soc_sd
05087,12.631019669907303,3.9585838404997995,53.94738542036756,32.66223405482474,26.886802290439125,2.0257441918590535,2.347456845547065,2.2192709921192457,5.72104274516316,4.702758131060315
05089,13.246292502544676,2.7729053122543905,56.16106837772023,35.75495728808318,26.659386958370376,3.183692737200615,1.9304473726425784,2.5278413874957684,6.731196406251879,5.267810585103454
05091,21.1050075112669,3.1135265398097145,55.85325488232348,41.347101902854284,20.27211442163245,13.060414625804546,2.6089801677676427,5.1204751674972515,14.245787159952418,5.317565235999577
05093,25.288255320619722,4.9887582196338,61.57766419825627,33.65651219659722,17.684478393488234,9.364064710336322,5.598590747654956,2.144958673219943,13.853242974349785,4.92983621330378
05095,23.950385908604616,3.343904427123134,58.83495083804575,9.90335727749758,19.831645779204237,8.82604194859529,2.9178364928606344,2.1867551754372547,6.152327489204286,6.312965507803356
05097,14.05005675368899,6.3188570300547795,52.03934757933179,36.90523120959384,29.664274786556778,2.800905726477742,3.71468928435746,2.1712795534203457,5.209984520166326,6.707412393202779
05099,11.330389960498481,3.3350327931256123,50.823915580322875,50.24057860677579,22.94003631893265,4.7633301524855884,1.7984873131246752,1.8292847652376607,11.16618920093123,3.927915631072856
05101,13.63689077167748,3.3209247556987975,53.021322111663125,37.71036644007525,30.743515403994202,2.378046934849951,1.7957809922610237,2.3000981808429506,5.864241558606019,4.8664269510965585
05103,10.432254310800804,3.417470644239924,49.90143869671004,47.938040833597796,23.259695334814346,4.357173250352161,3.113440208709077,1.7510276784419387,11.378174108550436,4.259453876462257
05105,14.511836706063901,5.26199978956967,52.70009469364851,33.479191947532705,26.518268859818328,4.448998693448414,4.589100705972155,2.270218166698422,6.081076102699391,6.00971739403432
05107,25.38521921412961,3.9132175192899514,57.80548369831854,10.660078720842067,16.916016234779892,12.968416059396903,3.7980699639904696,1.834830275816661,7.359633748408705,5.01606959489932
05109,12.573433917799095,4.544603404331621,52.18068061016689,43.925477413322746,26.134796418919784,3.302432869372952,3.0872189028522925,1.9392486194068712,6.770689053025362,5.707659794245546
05111,20.411524711049587,5.159231061453677,57.78291120466692,17.85322724174,18.387321048495792,8.169680050929097,5.15337706870238,1.9269900391598997,12.655091656036285,3.9941024311930966
05113,13.998921920060372,8.547947605314935,52.97892353718028,41.22440233943347,28.979377229154874,3.1313338700688864,3.4578305765984623,2.102768403096927,5.736640914313715,8.371180994185496
05115,13.804042798259893,4.182558947558805,54.34993479357645,38.73896012413019,25.162444907711492,2.7877831274840545,4.244524850796063,2.4717576413951865,6.767577627118976,6.223187906248558
05117,19.425980525157517,10.313026438756745,57.37537005215399,16.788043773175364,18.51934521117844,6.954453481558288,9.078815418268167,2.030670901974077,8.885721073212519,5.477162652727409
05119,17.13395279014391,17.60029506160058,54.37300962832591,28.699580701936018,21.638140594264417,5.994571101628044,5.1416160946532505,3.171813084513506,8.741337266566156,5.51812279765167
05121,12.873238851006201,12.473455059516738,55.789713464325594,29.20011760792606,20.742634655135546,4.406983875310801,8.296029534053215,2.9130002617995734,8.858788714786115,4.4515585849101
05123,21.88457774134746,6.622903387611789,57.27298474412459,10.518699763882601,18.25187487001309,12.179986390419455,7.54384981395936,2.251076614702699,7.291408006104671,4.68027065647545
05125,12.77302232760748,5.620382391124749,51.38994452968252,36.118606697209316,24.681807452549812,2.9979084602927784,5.355349457578863,2.017338156843589,6.795163584489451,5.638843034297609
05127,13.749672990999159,5.2607610783742365,54.313928640808136,34.46042003928425,30.93272896026247,2.585667883139123,3.0546846858120698,3.14720542042488,5.2992849643940385,7.566740887696062
05129,12.84997541434067,2.9819454487605936,54.63440256847829,38.25578341480346,26.13994735776473,2.3791374821927227,1.189134238954645,2.3787439652503193,5.845442516755823,5.010488809622588
05131,13.822076297686055,4.15645679712611,57.345739342903265,34.136691536861704,22.27114330177291,3.5301524407817833,2.4106419914089163,2.004725186663738,5.989041700314919,5.82180324250839
05133,14.068922639666045,5.140742107168966,53.37858943614339,41.82690087246442,23.875197278074975,4.16209450629507,4.177779287561573,2.517650444741087,8.623128823884802,6.212031813351366
05135,12.485814060581253,14.519820661072451,53.904382419156775,34.79846116455178,23.288470886205484,1.5348049878989691,7.269544624676193,2.0496777473165744,5.732260744728707,3.8428860425739124
