tribe,min_dist,max_dist,avg_dist
Sauk and Meskwaki,NA,NA,NA
Sco-ton,NA,NA,NA
Se-na-hu-ow,NA,NA,NA
Secatogue,NA,NA,NA
Seminole,0,2143.6919123560024,119.11496442175437
Seneca,0,1768.839758677354,110.37961990766453
Serrano,NA,NA,NA
Setauket,NA,NA,NA
Shaghticoke,NA,NA,NA
Shasta,0,510.2770609391464,153.32986295573704
Shawnee,0,1325.5924135440573,903.7546147544717
Shinnecock,0,0,0
Shoshone,0,1106.1185513414005,115.48550978858313
Si-yan-te,NA,NA,NA
Sicoags,NA,NA,NA
Siletz,NA,NA,NA
Sim-sa-wa,NA,NA,NA
Sioux,NA,NA,257.9358177805958
Sisseton,NA,NA,172.4462068617513
Siuslaw,0,323.5454549328739,112.96708115375931
Skagit,0,86.38967287221514,31.607766432945215
Skokomish,0,134.6274648076164,56.31205147070185
Snake,NA,NA,NA
Snohomish,0,0,0
Snoqualmie,0,62.356166324710244,31.17643718055769
So-ho-nut,NA,NA,NA
Spokane,0,169.0658570586457,37.395204339217166
Squaxin,0,95.24408721766545,19.049355172543795
Squiaitl,83.01152304628057,164.17099574821222,116.7340657680907
Steh-chass,NA,NA,NA
Steilacoom,NA,NA,NA
Stillaguamish,0,48.57920505414189,24.28989341703882
Su-ca-ah,NA,NA,NA
Su-nu,NA,NA,NA
Suquamish,0,238.76743894437126,97.53615323185049
Swinomish,0,0,0
T'Peeksin,NA,NA,NA
Tachi,0,269.66876465329966,101.36916222641541
Takelma,161.70750443677335,281.2653974903931,218.7863446990492
Tall-in-chee,NA,NA,NA
Tamaroa,NA,NA,NA
Taos Pueblo,0,87.96673288568276,43.987104296656184
Tat-nah,NA,NA,NA
Te-jon,NA,NA,NA
Tenino,NA,NA,NA
Tesuque Pueblo,0,0,0
Tillamook,0,254.6345987439069,72.27846133241415
Timucua,NA,NA,NA
To-ci-a,NA,NA,NA
To-e-ne-che,NA,NA,NA
To-to,NA,NA,NA
Toc-de,NA,NA,NA
Tocobaga,NA,NA,NA
Tohono O'Odham,0,255.23345649499927,34.04898300871957
Tolowa,115.79976577973021,322.9136706158466,6.922001341362529
Tonkawa,NA,NA,NA
Toom-na,NA,NA,NA
Tu-huc-mach,NA,NA,NA
Tukudeka,NA,NA,NA
Tule River Mono,0,341.43027745886633,144.0924711830287
Tunica-Biloxi,NA,NA,NA
Tunxis,NA,NA,NA
Tuolumne Me-Wuk,0,280.8549458731805,90.6676054064922
Tuscarora,0,918.0296164778399,278.7917878673758
Umatilla,0,172.12669055646458,21.337645261331797
Umpqua,0,323.5454549328739,64.49834832421969
Unkechaug,0,0,0
Ute,0,729.8085387702974,47.42315260403912
Uva,NA,NA,NA
Wa-cha-et,NA,NA,NA
Wabanaki,NA,NA,NA
Wack-sa-che,NA,NA,NA
Wahpekuta,NA,NA,NA
Wahpeton,NA,NA,NA
Wai-de-pa-can,NA,NA,NA
Wailaki,0,124.81686399518878,30.1106294801321
Walla Walla,0,156.1629174715345,29.253753953279077
Wampanoag,NA,NA,NA
Wan-nuck,NA,NA,NA
Wangunks,NA,NA,NA
Wappo,0,473.3161951843681,161.23973236293185
Wasco,0,323.26466876880204,8.894604724172053
Washoe,0,756.2167701324498,95.91824863955816
Wat-sa-he-wa,NA,NA,NA
We-chil-la,NA,NA,NA
We-mal-che,NA,NA,NA
Wea,NA,NA,NA
Wic-chum-ne,NA,NA,NA
Wichita,NA,NA,NA
Wichita and Affiliated Tribes,NA,NA,NA
Wil-lay,NA,NA,NA
Winnebago,0,736.8683248697978,170.0861173027877
Winnibagoshish,NA,NA,NA
Wintun,0,163.19772104946276,68.40940063301495
Wishkah,0,189.25215899853345,62.183277670501916
Wiyot,NA,NA,NA
Wo-la-si,NA,NA,NA
Wo-pum-ne,NA,NA,NA
Wo-wol,NA,NA,NA
Wyandotte,0,1325.5924135440573,1020.4196036709681
Wynoochee,0,189.25215899853345,62.183277670501916
Y-lac-ca,NA,NA,NA
Ya-cum-na,NA,NA,NA
Ya-ma-do,NA,NA,NA
Ya-wil-chine,NA,NA,NA
Yahooskin,0,292.48837218491815,42.51881933556296
Yakama,0,308.45464186808624,105.73563585307537
Yankton Sioux,NA,NA,145.23908957657298
Yaqui,NA,NA,NA
Yas-see,NA,NA,NA
Yavapai,0,399.7674348085118,53.7853675503859
Yo-kol,NA,NA,NA
Yo-lum-ne,NA,NA,NA
Yokut,0,341.43027745886633,96.14224016290726
Yol-la-mer,NA,NA,NA
Ysleta del Sur Pueblo,NA,NA,NA
Yu-ki-as,NA,NA,NA
Yuki,NA,NA,NA
Yuma,NA,NA,NA
Yurok,NA,NA,NA
Yut-duc,NA,NA,NA
Zia Pueblo,0,0,0
Zuni,0,78.25286690921935,39.118912974216386
