geoid,elevation_mean,tri_mean,elevation_sd,tri_sd,elevation_min,tri_min,elevation_q25,tri_q25,elevation_median,tri_median,elevation_q75,tri_q75,elevation_max,tri_max
31081,546.125262882996,1.04109048111769,16.2429058291445,0.882886645708571,496,0,534.225806807785,0.435572969647193,545.604835530996,0.770153937772115,558.06455701455,1.37967717461761,584.46628977776,9.48307749657076
31083,650.53520568197,2.62358464654763,31.8342836152825,1.58201598688478,570.606787308024,0,625.823183341474,1.4392505983406,650.903152549076,2.53639053522598,676.010712045034,3.64247511451205,724,12.9037585795512
31085,919.920114512928,3.60178046157892,39.6180477617305,2.25682689975139,794.395454347146,0,892.093006391629,1.75577654472801,920.169287924308,3.10095403867192,949.295733016398,5.17307969032245,1036.06786167246,15.4408521150076
31087,874.226743243733,3.20516218410417,44.3509391237211,2.16520950887819,771,0,841.607451960474,1.40371507249695,871.300111541732,2.76389672581833,904.685211617279,4.73924240439376,987,16.7818418223794
31089,619.637961252819,1.27581788707958,55.3287930389992,1.50417412514723,411.572427066861,0,587.408720984079,0.38308931511817,619.107766713528,0.731443991843648,656.24359090838,1.6166656035951,771.881092858694,17.1892872020857
31091,1030.5977003042,4.5853726592102,41.1757160556963,2.9095127354042,901.798429641912,0,998.662102471684,2.45633170320983,1033.09676692275,4.03601569089302,1062.71057227529,6.09869760267415,1155.96362015494,30.9785922498699
31093,584.476631714281,2.40875998492207,25.3905630622023,1.95778277103999,522.560551957794,0,565.368450949274,0.714912147893983,582.689674666634,1.87150232154499,603.861114534121,3.80491587848321,660.358707350605,14.4527148624586
31095,435.059150180601,2.25015845948714,18.261002966343,1.3946268942953,375.242640797244,7.105427357601e-15,423.966715122852,1.21845499983404,434.946728209165,1.97624043022256,446.315021999168,2.9709989373258,492.221922348812,11.6801469327038
31097,376.057984450318,3.05799324398827,27.6068022358691,1.24532392363526,304.379546491746,0,356.800335671856,2.29568583837778,375.928080844109,3.05511958464671,394.095487356348,3.81101029995142,454.584737997394,12.6416449964819
31099,652.778707545486,0.726405517848685,16.9072839891466,0.616364424619105,607.188469333338,0,639,0.328535361675101,655.380574497336,0.564436610353084,667.311390018063,0.959072237479234,695.3423680349,5.51855732906219
