FIPS,precip
6075,621.8137589
25025,1230.093005
31007,425.5606733
37181,1122.091657
48421,456.791567
50011,1133.658594
51680,1077.152884
5099,1340.037203
8014,399.7399963
16065,476.7627145
17027,1058.513423
19025,851.0442075
21129,1211.134195
22063,1615.398244
31097,814.738505
31101,484.4284777
51775,1052.244995
48493,755.1254938
48115,476.0945868
46051,617.7427516
5067,1237.857226
51670,1174.47998
46003,593.123789
18031,1121.651094
18169,1014.209422
19161,836.678224
37107,1246.84661
29055,1157.316903
31105,419.98993
8045,605.2490505
17067,993.1958715
27173,666.7879366
31145,549.3633025
13089,1301.958601
45077,1394.988242
20131,865.4222331
5111,1240.678983
17175,928.8399963
37147,1234.201139
19147,810.2797944
19081,838.4820376
29229,1148.026902
31073,589.1368556
38043,474.8777727
40015,822.9053275
42075,1143.453502
48069,506.2223072
48279,478.4625005
48385,746.292718
55141,824.6673236
55099,800.594095
35057,394.3228396
26107,875.3870433
29003,934.0789506
42097,1104.473195
17141,918.2399154
12091,1651.562535
17075,969.1283243
19059,756.8849979
20129,442.3259995
28153,1470.824338
36073,887.5362309
36003,1021.542237
51009,1149.492101
13267,1164.59014
16053,262.6281194
36039,1195.822597
26077,973.9563666
26123,893.1958336
20073,976.3122997
31035,712.4282934
31011,689.7632407
37081,1124.369806
46061,636.3867888
50015,1235.241629
55069,805.5869104
47091,1182.00979
19145,895.8120226
8119,525.6166265
29139,1066.320953
22127,1487.488101
11001,1086.322732
16041,589.8919497
19007,969.3063616
20157,747.9553964
26101,872.4054159
27047,856.2354746
39093,962.7401244
47139,1414.61
48359,464.7992535
21191,1078.503621
17137,991.5725866
19169,907.9293934
26065,846.4218181
28127,1476.817838
28035,1540.455945
33001,1148.166198
39055,1106.353498
45059,1157.346698
46097,633.7069791
48127,528.8703228
48305,510.380501
48171,782.7826475
51097,1128.499583
17003,1233.063408
47173,1248.786925
18005,1129.302838
40031,838.0716444
29195,1054.602609
1023,1395.693307
13061,1321.686764
18091,1002.923981
18171,990.0479612
31181,668.6693192
39087,1084.275946
51099,1057.836548
5037,1254.011398
12095,1274.801075
17143,938.0203025
18105,1176.755711
20061,866.5369206
28141,1462.703106
31059,736.2245449
42025,1286.039665
48461,390.943295
48145,936.0112495
48307,685.562111
55025,900.4629645
55049,914.769432
47043,1329.385839
26037,848.7698936
19047,815.091032
20011,1113.988
20051,605.4716431
12049,1289.100834
40059,609.0780396
44001,1232.439994
8081,396.6039456
26103,810.1218981
