"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"00000","United States","","CA5","81","[01-02]","  Farm earnings",17430000,17660000,18142000,21947000,34875000,30097000,29132000,25218000,24491000,28384000,30221000,20738000,27476000,24766000,17450000,32159000,32255000,33394000,39588000,39231000,46169000,47615000,42481000,50716000,47600000,51008000,39809000,55361000,51311000,49045000,49661000,52714000
"00000","United States","","CA5","82","...","  Nonfarm earnings",637792000,677462000,725987000,800006000,886446000,966418000,1033304000,1150940000,1282436000,1451175000,1621969000,1767869000,1936479000,2030291000,2171992000,2401770000,2585178000,2755283000,2958316000,3223118000,3424632000,3635438000,3750226000,4013404000,4195756000,4412747000,4642890000,4909590000,5246524000,5668776000,6060018000,6558532000
"00000","United States","","CA5","90","...","    Private nonfarm earnings",518145000,543506000,576715000,636207000,709464000,773731000,819988000,922903000,1037244000,1183837000,1332434000,1449805000,1586581000,1653845000,1771286000,1971351000,2119329000,2261541000,2435156000,2660114000,2816717000,2978076000,3051365000,3264239000,3421225000,3608542000,3814211000,4057385000,4362298000,4744944000,5083412000,5518620000
"00000","United States","","CA5","100","[07-08]","      Agricultural services, forestry, and fishing",2792000,2972000,3366000,3759000,4301000,4845000,5116000,5950000,5628000,7023000,8292000,9463000,9476000,9905000,11430000,12590000,14199000,15447000,18065000,19829000,20392000,22351000,22989000,23747000,24726000,26175000,26961000,28405000,30732000,33148000,37100000,39148000
"00000","United States","","CA5","110","07","        Agricultural services",2428000,2514000,2892000,3228000,3654000,4068000,4317000,4845000,4709000,5779000,6791000,7710000,8261000,9050000,9737000,11127000,11662000,12050000,15630000,16615000,17406000,19211000,20096000,21258000,22317000,23315000,24373000,26061000,28178000,29952000,33365000,35366000
"00000","United States","","CA5","120","...","        Forestry and fishing",364000,458000,474000,531000,647000,777000,799000,1105000,919000,1244000,1501000,1753000,1215000,855000,1693000,1463000,2537000,3397000,2435000,3214000,2986000,3140000,2893000,2489000,2409000,2860000,2588000,2344000,2554000,3196000,3735000,3782000
"00000","United States","","CA5","121","08","          Forestry",122000,152000,172000,211000,249000,283000,291000,352000,236000,268000,301000,378000,450000,244000,712000,900000,700000,620000,293000,503000,560000,713000,731000,729000,809000,1236000,890000,606000,688000,1364000,1782000,1758000
"00000","United States","","CA5","122","...","          Fishing",242000,306000,302000,320000,398000,494000,508000,753000,683000,976000,1200000,1375000,765000,611000,981000,563000,1837000,2777000,2142000,2711000,2426000,2427000,2162000,1760000,1600000,1624000,1698000,1738000,1866000,1832000,1953000,2024000
"00000","United States","","CA5","200","B","      Mining",6581000,7175000,7257000,8302000,9543000,13138000,16489000,17431000,21676000,24308000,29116000,36297000,44182000,45597000,38584000,41837000,42347000,32906000,31554000,35188000,37344000,38877000,35761000,36403000,37067000,37355000,37184000,41708000,47732000,47641000,44552000,51164000
"00000","United States","","CA5","210","10","        Metal mining",890000,986000,1006000,1032000,1147000,1448000,1542000,1566000,2007000,2336000,2806000,2912000,3499000,2600000,2082000,1844000,1629000,1810000,2030000,2824000,3097000,2863000,2687000,2681000,2635000,2901000,3246000,3526000,3573000,3981000,4025000,3823000
"00000","United States","","CA5","220","12","        Coal mining",1494000,1869000,1956000,2310000,2562000,3508000,4770000,5066000,6861000,7458000,8574000,8523000,8904000,9819000,8600000,9530000,9086000,5917000,4738000,9833000,8218000,8653000,9699000,8978000,8111000,8174000,7791000,7526000,7550000,7511000,7159000,6448000
"00000","United States","","CA5","230","13","        Oil and gas extraction",3157000,3183000,3103000,3676000,4406000,6574000,8431000,8926000,10760000,12155000,15127000,22040000,28867000,30358000,24890000,27151000,28231000,22240000,21524000,18471000,21806000,22952000,18983000,20144000,21792000,21128000,20932000,24738000,30432000,29572000,26810000,34469000
"00000","United States","","CA5","240","14","        Nonmetallic minerals, except fuels",1040000,1137000,1192000,1284000,1428000,1608000,1746000,1873000,2048000,2359000,2609000,2822000,2912000,2820000,3012000,3312000,3401000,2939000,3262000,4060000,4223000,4409000,4392000,4600000,4529000,5152000,5215000,5918000,6177000,6577000,6558000,6424000
"00000","United States","","CA5","300","C","      Construction",42139000,44348000,48559000,53851000,60890000,64975000,65252000,74638000,81720000,96339000,108538000,114701000,117047000,116967000,124551000,144869000,158350000,174809000,187941000,203818000,212821000,218388000,206366000,211643000,222654000,244965000,259270000,279830000,300609000,330899000,371217000,410034000
"00000","United States","","CA5","310","15","        General building contractors",11637000,12092000,13110000,14288000,16790000,18051000,16561000,19493000,21732000,26355000,29447000,29659000,28606000,28043000,32104000,38448000,41098000,47733000,51299000,56006000,53995000,54137000,49127000,50335000,52667000,57707000,60230000,64934000,69642000,76607000,86030000,94851000
