"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"13000","Georgia state total","5","CA5","82","...","  Nonfarm earnings",12501630,13354521,14625483,16529187,18503871,20060595,21041776,23847226,26968363,30610045,34260682,37796907,41683152,44484160,49119754,55859560,61869395,68044848,73690190,80170721,84692890,90277101,93665713,102209713,108837869,116490872,125555598,135696380,145182812,161269842,174838961,188533475
"13000","Georgia state total","5","CA5","90","...","    Private nonfarm earnings",9569241,10177252,11144452,12791249,14436503,15626662,16115961,18420672,20971690,24022232,27046354,29773684,32772988,34856395,38888913,44793095,49807032,55162643,59948726,65233336,68505636,72771212,74947555,82305415,88088334,94663243,102802848,112128314,120607123,135247098,147566197,159596557
"13000","Georgia state total","5","CA5","100","[07-08]","      Agricultural services, forestry, and fishing",55685,57789,68052,77043,86686,98169,94168,106795,101960,124963,144727,161849,174497,168532,208211,250973,268911,298144,341639,366530,380735,411236,447881,461452,513911,586036,653534,707856,755660,874641,979345,1017605
"13000","Georgia state total","5","CA5","110","07","        Agricultural services",38305,38216,44594,51577,57085,63889,60914,68359,68651,83906,97508,109676,119991,132979,153330,189534,217894,239133,298444,318755,327992,350679,386378,400429,445108,488948,561693,625866,664630,753566,839416,886654
"13000","Georgia state total","5","CA5","120","...","        Forestry and fishing",17380,19573,23458,25466,29601,34280,33254,38436,33309,41057,47219,52173,54506,35553,54881,61439,51017,59011,43195,47775,52743,60557,61503,61023,68803,97088,91841,81990,91030,121075,139929,130951
"13000","Georgia state total","5","CA5","121","08","          Forestry",13627,16502,19127,21442,24618,28248,26511,30407,27713,31437,34919,39746,45604,29193,47825,56270,43234,44940,26697,33122,37835,46554,46515,46950,56204,76019,62387,56462,60385,91307,109692,104358
"13000","Georgia state total","5","CA5","122","...","          Fishing",3753,3071,4331,4024,4983,6032,6743,8029,5596,9620,12300,12427,8902,6360,7056,5169,7783,14071,16498,14653,14908,14003,14988,14073,12599,21069,29454,25528,30645,29768,30237,26593
"13000","Georgia state total","5","CA5","200","B","      Mining",55282,60489,61107,72886,79951,101268,108213,131901,163316,166544,187933,242215,264261,255459,219410,260171,288241,242189,282307,340452,334849,340062,301791,324921,326386,353170,384754,402594,423154,457141,473556,472736
"13000","Georgia state total","5","CA5","210","10","        Metal mining",2361,2343,2368,2092,1605,1791,1588,1450,2232,2125,2446,2080,1956,1899,1370,1938,"(D)","(D)","(D)",826,662,453,206,"(L)","(L)","(L)","(L)","(L)","(L)","(D)","(D)","(D)"
"13000","Georgia state total","5","CA5","220","12","        Coal mining","(L)",110,176,749,773,2285,2469,2309,14533,11805,9288,3956,3563,4259,5309,5481,"(D)","(D)","(D)",23182,7591,5579,15356,11810,4964,3476,12230,7136,5685,"(D)","(D)","(D)"
"13000","Georgia state total","5","CA5","230","13","        Oil and gas extraction",5217,5008,1799,7689,7871,17433,26592,39161,42404,31292,41380,84805,94138,80229,29410,40264,59824,11733,32356,14402,11002,9839,-649,3614,5601,4816,4348,6362,6948,6521,8607,13371
"13000","Georgia state total","5","CA5","240","14","        Nonmetallic minerals, except fuels",47662,53028,56764,62356,69702,79759,77564,88981,104147,121322,134819,151374,164604,169072,183321,212488,223764,236912,266148,302042,315594,324191,286878,309483,315833,344873,368159,389089,410517,443555,448961,440801
"13000","Georgia state total","5","CA5","300","C","      Construction",746709,766078,918361,1164639,1317935,1363711,1233401,1367541,1556769,1832130,1984539,2215753,2275751,2441643,2741863,3531772,4022298,4739943,4857532,5087383,5060261,5342500,4797128,5031331,5552155,6288235,7058694,7893882,8441967,9559932,11157844,11957841
"13000","Georgia state total","5","CA5","310","15","        General building contractors",230794,237826,294538,365130,420700,442491,401054,463405,489589,586806,644962,710800,694309,785207,925975,1194356,1305349,1560919,1541151,1568754,1532829,1603544,1285631,1295209,1419138,1602421,1724420,1914756,1960724,2350838,2790606,3089250
"13000","Georgia state total","5","CA5","320","16","        Heavy construction contractors",114960,123468,143226,170513,201231,204168,183976,192142,242830,289929,304346,339359,359183,380495,465988,619336,649165,765417,768704,707698,636679,653446,576690,597282,649006,696257,760500,819667,881790,989785,1099777,1250413
"13000","Georgia state total","5","CA5","330","17","        Special trade contractors",400955,404784,480597,628996,696004,717052,648371,711994,824350,955395,1035231,1165594,1222259,1275941,1349900,1718080,2067784,2413607,2547677,2810931,2890753,3085510,2934807,3138840,3484011,3989557,4573774,5159459,5599453,6219309,7267461,7618178
"13000","Georgia state total","5","CA5","400","D","      Manufacturing",3272848,3311185,3469504,3911837,4313028,4494390,4495604,5393531,6209504,7016552,7972307,8521118,9408597,9665848,10594883,11966227,12890890,14010868,14942250,15693526,16075142,16374323,16717746,18174294,18892852,20168480,21294060,22172100,23315178,24890301,26153356,27023565
"13000","Georgia state total","5","CA5","410","...","        Durable goods manufacturing",1356528,1307030,1343568,1538438,1689418,1706967,1679455,2038833,2389120,2720019,3095957,3467793,3870549,3985725,4399795,5183927,5758560,6257392,6644891,6991431,6987230,6984069,7007749,7645794,7963390,8730390,9401010,9997307,10640556,11499857,12150626,12710974
"13000","Georgia state total","5","CA5","413","24","          Lumber and wood products",151230,150780,165482,197127,224027,222469,223409,276865,330395,404416,475456,476559,476621,481099,562373,654812,721258,774512,798389,841933,864091,842491,781035,879707,964259,1051474,1317041,1446850,1492271,1593334,1671021,1630084
"13000","Georgia state total","5","CA5","417","25","          Furniture and fixtures",59267,56263,61359,73688,78927,76013,65478,77932,89407,102618,87347,125587,133232,144830,163578,187971,208617,217010,234007,232334,237527,227571,219882,227206,255303,275592,292847,335392,344770,394778,402899,439976
