"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","72","...","    Nonfarm proprietors' income",519092,544594,599126,695542,781751,854774,972516,1258835,1441913,1671854,1851089,1945512,2009430,2010900,2311851,2748860,2986081,3349093,4014926,4606487,3832425,4126421,5165870,6467924,6637525,6859293,7627312,8488076,9298605,10382013,11844607,13293075
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","81","[01-02]","  Farm earnings",24264,26411,28467,33863,40572,54580,49671,53491,58125,55816,76112,109919,78983,90302,107677,115643,124793,132384,133258,132902,122987,128908,145245,116848,105547,108542,127535,141140,186374,193126,224519,242286
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","82","...","  Nonfarm earnings",4224972,4585613,4871401,5620836,6445163,7188914,8005646,9374955,11159315,13244012,15383335,17493850,19939079,21015058,22845394,26252296,29103463,32053272,35779729,40215328,42545222,45748313,46905524,49954941,50475051,51916389,54258436,57637943,62647090,69700388,76042300,83349373
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","90","...","    Private nonfarm earnings",3490765,3714820,3923249,4564791,5307286,5939159,6576899,7811032,9474216,11406089,13416593,15365884,17505621,18421642,20104720,23268621,25811880,28500654,31981816,36147490,38088188,40743127,41459544,44073355,44527462,45817856,48160891,51268349,56027781,62648131,68588734,75239471
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","100","[07-08]","      Agricultural services, forestry, and fishing",24108,26969,32936,38231,49348,56688,59046,65020,70588,92577,111010,132427,147025,141670,166772,196231,205295,221082,290018,313356,350596,396971,377898,375025,354973,347984,351825,369821,427522,472400,551192,578863
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","110","07","        Agricultural services",23233,25727,31507,36666,48023,54763,57033,62434,68608,90209,107817,128639,142502,139553,163199,191941,201077,212692,282513,306576,343569,388828,370643,369100,349262,341096,345039,363730,421540,466098,544311,572538
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","120","...","        Forestry and fishing",875,1242,1429,1565,1325,1925,2013,2586,1980,2368,3193,3788,4523,2117,3573,4290,4218,8390,7505,6780,7027,8143,7255,5925,5711,6888,6786,6091,5982,6302,6881,6325
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","121","08","          Forestry",192,271,335,387,383,508,541,639,258,237,321,417,765,205,1599,1820,1677,1697,1360,"(D)","(D)","(D)","(D)","(D)",2805,3208,"(D)",1612,1344,1825,2084,1301
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","122","...","          Fishing",683,971,1094,1178,942,1417,1472,1947,1722,2131,2872,3371,3758,1912,1974,2470,2541,6693,6145,"(D)","(D)","(D)","(D)","(D)",2906,3680,"(D)",4479,4638,4477,4797,5024
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","200","B","      Mining",23658,24412,23606,41862,37774,50225,66972,73783,81328,83210,100706,133370,180917,174233,178539,199099,174017,79316,107520,67284,70524,73339,68798,74024,72034,76052,92030,107858,104120,108606,84130,85922
