FIPS,amen_region_census,amen_rural_urban,amen_urban_inf,amen_low,amen_sun,amen_high,amen_humid,amen_topo,amen_per_water,amen_log_water,amen_scale,amen_rank
46009,4,9,9,18.4,168,75.6,51,4,3.08,5.731,-1.59,3
46011,4,7,7,12,159,71.1,49,4,1.28,4.852,-2.06,3
46013,4,5,7,9.5,163,71.8,50,4,1.07,4.674,-2.72,2
46015,4,9,9,16.7,160,74.8,46,4,3.25,5.784,-1.54,3
46017,4,9,9,14.9,160,74,46,4,3.45,5.844,-1.59,3
46019,4,7,8,21.3,160,71.7,41,9,0.79,4.366,0.43,4
46021,4,9,9,9.6,163,71.3,45,4,4.61,6.133,-1.45,3
46023,4,9,9,18.3,168,75.5,51,5,4.52,6.114,-1.23,3
46025,4,9,9,11.2,159,71.5,49,5,1.02,4.625,-2.27,2
46027,4,7,7,19.2,168,75.3,51,4,1.22,4.805,-1.87,3
46029,4,7,7,9.7,159,70.7,49,4,4.1,6.015,-1.73,3
46031,4,9,9,12.7,163,71.9,45,9,2.23,5.408,-0.71,3
46033,4,8,6,24.3,155,73,41,20,0.09,2.23,0.97,4
46035,4,7,7,16.7,168,75.2,51,2,0.31,3.431,-3.29,2
46037,4,9,9,10,163,70.4,50,5,5.74,6.353,-1.21,3
46039,4,9,9,11.2,159,70.7,49,5,2.07,5.332,-1.68,3
46041,4,9,9,13.4,163,72.1,45,14,5.85,6.371,0.62,4
46043,4,9,9,18.3,168,75.5,51,2,0.12,2.521,-3.59,2
46045,4,9,9,12.1,163,73,45,4,0.48,3.881,-2.68,2
46047,4,7,8,24.3,155,73,41,20,0.53,3.974,1.89,4
46049,4,9,9,12.7,163,72.3,45,4,0.55,4.007,-2.32,2
46051,4,7,8,12.5,163,72.8,50,5,0.79,4.369,-2.49,2
46053,4,9,9,20.5,160,74.6,46,5,3.56,5.875,-0.64,3
46055,4,9,9,18.2,155,74.7,41,14,0.78,4.357,-0.3,3
46057,4,9,9,11.2,159,70.7,49,4,4.98,6.211,-1.37,3
46059,4,9,9,15,159,74,49,4,0.25,3.227,-3.2,2
46061,4,9,9,16.3,168,74.8,51,2,0.22,3.113,-3.42,2
46063,4,9,9,16.3,160,70.4,41,9,0.26,3.275,-0.65,3
46065,4,7,7,15.6,156,75.2,45,14,7.42,6.609,0.07,4
46067,4,9,9,17.3,168,74.6,51,2,0.17,2.858,-3.33,2
46069,4,9,9,14,156,72.9,45,4,0.65,4.167,-2.39,2
46071,4,9,9,21.3,155,74.5,41,14,0.11,2.427,-0.75,3
46073,4,9,9,14.9,159,74,49,4,0.45,3.804,-2.91,2
46075,4,9,9,19.5,156,75.2,45,14,0.11,2.436,-1.48,3
46077,4,9,9,12.8,159,72.7,49,4,2.93,5.68,-1.92,3
46079,4,6,6,13.6,159,72.3,49,4,2.06,5.326,-1.86,3
46081,4,6,6,24.1,155,68,41,20,0.03,1.252,1.76,4
46083,4,3,2,16.4,168,74.8,51,2,0.09,2.157,-3.91,2
46085,4,9,9,17.2,156,74.9,45,5,3.93,5.974,-1.28,3
46087,4,8,6,16.3,168,74.8,51,2,0.46,3.823,-3.05,2
46089,4,9,9,9.8,163,70.9,45,4,1.29,4.863,-1.98,3
46091,4,9,9,9.1,163,71.3,50,5,5.28,6.269,-1.65,3
46093,4,6,6,19.1,155,73.6,41,5,0.34,3.525,-1.66,3
46095,4,9,9,22.3,160,76,46,14,0.25,3.214,-0.76,3
46097,4,9,9,14.1,159,73.5,49,2,0.29,3.362,-3.45,2
46099,4,3,2,14.2,168,73.3,51,4,0.56,4.028,-2.58,2
46101,4,8,6,13.1,159,72.1,49,4,0.27,3.312,-2.96,2
46103,4,3,2,21.9,155,72.6,41,20,0.29,3.369,1.27,4
46105,4,9,9,12.9,160,70.2,41,9,0.6,4.094,-0.73,3
46107,4,9,9,13.4,163,72.9,45,4,3.55,5.874,-1.38,3
46109,4,9,9,11.5,163,71.8,50,5,3,5.704,-1.68,3
46111,4,9,9,14.8,159,73.4,49,2,0.21,3.047,-3.47,2
46113,4,7,8,23.2,155,73.6,41,14,0.13,2.581,-0.1,3
46115,4,7,8,12.3,159,73.7,49,2,0.41,3.715,-3.62,2
46117,4,9,9,15.6,156,75.2,45,14,4.86,6.186,-0.15,3
46119,4,9,9,13.4,156,72.9,45,14,5.93,6.385,0.2,4
46121,4,9,9,21.5,160,75.9,46,14,0.2,2.995,-0.98,3
46123,4,7,8,21.5,160,75.9,46,5,0.24,3.178,-2.25,2
46125,4,8,6,16,168,74.4,51,4,0.1,2.323,-3.48,2
46127,4,8,6,19.2,168,75.3,51,4,1.43,4.966,-1.78,3
46129,4,7,8,12.1,163,73,45,4,4.89,6.193,-1.45,3
46135,4,7,7,16.6,168,74.3,51,4,2.07,5.334,-1.76,3
46137,4,9,9,15.7,160,73.5,41,14,0.44,3.79,-0.55,3
47001,6,2,2,38.1,126,77,65,20,2.12,5.357,1.36,4
47003,6,6,5,40,126,78.2,63,14,0.25,3.204,-0.55,3
47005,6,7,8,37.7,126,77.7,63,14,9.49,6.856,1.13,4
47007,6,8,6,40,126,77.3,64,16,0.1,2.286,-0.56,3
47009,6,2,2,40.6,126,78.2,65,20,1.43,4.961,1.25,4
47011,6,4,5,40.2,126,78.8,65,14,0.84,4.425,-0.17,3
47013,6,6,6,37.8,126,76,65,20,3.65,5.9,1.87,4
47015,6,8,6,40.1,126,78.9,63,9,0.02,0.814,-2.75,2
47017,6,6,6,38.1,151,79.1,59,4,0.14,2.627,-1.91,3
47019,6,2,2,33.7,126,68.2,65,20,1.89,5.242,2.93,5
47021,6,2,2,37.9,126,79.2,63,14,1.46,4.98,-0.23,3
47023,6,6,6,40.8,151,80,59,4,0.08,2.031,-2.01,3
47025,6,6,6,37.9,126,75.6,65,20,1.65,5.104,1.57,4
47027,6,9,9,37.3,126,77.3,63,15,8.93,6.795,1.29,4
47029,6,7,8,38.3,126,77.2,65,20,1.97,5.285,1.31,4
47031,6,5,7,39.7,126,77.2,64,5,1.28,4.855,-0.89,3
47033,6,8,6,38.1,151,79.1,59,4,0.08,2.068,-2.21,3
47035,6,7,8,34.5,126,72.9,64,16,0.49,3.887,0.54,4
47037,6,2,2,38.3,126,79.6,63,14,4.54,6.119,0.33,4
47039,6,9,9,38.7,126,79.1,63,14,3.19,5.767,0.34,4
