Rowid,COUNTY FIP,MIN,MAX,RANGE,MEAN,STD
184,273,631.25,1286.160034,654.9100342,872.6215008,246.5800256
185,213,1009.409973,1765.26001,755.8500366,1168.81158,127.7112115
186,203,438.7999878,1330.280029,891.4800415,1027.282542,295.6226815
187,217,890.1599731,1288.280029,398.1200562,1088.897554,130.7012128
188,289,1016.590027,1188.390015,171.7999878,1106.050538,50.56187226
189,201,760.3699951,1447.640015,687.2700195,1113.698998,227.2409273
190,620,1211.839966,1216.930054,5.090087891,1214.38501,2.545043945
191,431,480.1700134,541.289978,61.1199646,513.5533585,12.89916622
192,209,820.1300049,1189.910034,369.7800293,1045.706535,124.6172862
193,750,942.1300049,948.1599731,6.029968262,945.144989,3.014984131
194,760,1118.869995,1131.5,12.63000488,1124.417259,3.492921333
195,006,240.8500061,904.6900024,663.8399963,341.2021922,79.19012642
196,277,1154.180054,1239.310059,85.13000488,1188.17566,16.16522647
197,309,887.8400269,1186.280029,298.4400024,964.8484959,100.6805184
198,355,692.210022,897.3499756,205.1399536,778.5847685,40.14546432
199,347,1218.050049,1392.47998,174.4299316,1296.631901,47.99279974
200,810,1094.859985,1182.079956,87.2199707,1142.652222,21.84513362
201,407,1216.550049,1368.619995,152.0699463,1293.636924,39.44258175
202,507,516.0900269,652.5499878,136.4599609,578.3015551,30.22055864
203,339,1153.52002,1353.22998,199.7099609,1241.517834,49.36939173
204,078,765.8200073,790.5599976,24.73999023,779.1821645,7.07687665
205,427,494.8599854,552.2800293,57.42004395,518.8083881,13.33163267
206,735,1179.849976,1187.130005,7.280029297,1183.392517,2.581077952
207,485,698.8099976,773.7600098,74.95001221,755.1061264,13.42086782
208,357,508.2999878,551.4099731,43.10998535,534.9390766,10.9887929
209,028,431.9700012,718.289978,286.3199768,542.3405014,87.01281167
210,401,1169.430054,1287.599976,118.1699219,1225.939836,25.59510473
211,249,608.3099976,1254.290039,645.9800415,778.2858725,231.1355084
212,730,1174.630005,1178.589966,3.959960938,1176.609985,1.979980469
213,317,379.3500061,1183.77002,804.4200134,683.2528491,344.9419499
214,710,1171.5,1183.949951,12.44995117,1177.172485,3.444180432
215,425,854.4699707,886.5999756,32.13000488,870.0166626,10.39106305
216,261,613.6699829,1256.5,642.8300171,802.6347874,236.1265542
217,265,680.5300293,1174.900024,494.3699951,832.556925,153.6510205
218,345,577.5200195,611.6500244,34.13000488,595.37409,8.171971151
